测试类型,标准问题,测试问题,关键词,关键词命中率,数字匹配率,准确,响应时间
相似问题,特药直送需要什么材料？,还没买特药，想申请直送需要哪些材料？,"特药直送,购药前,所需材料",60%,100%,是,3211ms
相似问题,报销需要哪些材料？,申请理赔要准备哪些东西？,"报销材料,理赔资料,所需文件",0%,100%,否,2978ms
相似问题,理赔需要哪些资料？,申请理赔需要准备哪些东西？,"理赔材料,所需资料,报销文件",20%,100%,否,2505ms
相似问题,异地就医需要提供哪些材料？,异地看病需要准备哪些文件？,"异地就医材料,所需资料,医保结算单",0%,100%,是,6757ms
相似问题,没出院就办了直赔，再直赔后出院之前又产生费用呢,没出医院就用了直赔，之后又花了钱怎么办？,"直赔,未出院,后续费用",20%,100%,是,7930ms
相似问题,理赔需要提供哪些资料？,我要怎么准备理赔所需的资料？,"理赔资料,申请材料,报销所需",0%,100%,否,2972ms
相似问题,住院材料需要哪些？,住院报销需要提供哪些文件？,"住院,所需材料,出院记录",100%,100%,是,3594ms
相似问题,理赔只需要银行卡号就可以吗？还需要什么？,申请赔款需要哪些资料？,"理赔材料,银行卡号,身份证",0%,100%,否,3121ms
相似问题,特药事后理赔需要什么材料？,买了特药后要理赔需要准备哪些资料？,"特药,事后理赔,材料清单",60%,100%,是,3272ms
相似问题,理赔申请需要哪些材料？,申请理赔要准备什么文件？,"理赔材料,所需资料,住院发票",20%,100%,否,2842ms
相似问题,什么是直赔和快赔？有什么区别？,宁惠保可以直接在医院赔吗？,"直赔,快赔,理赔方式",60%,100%,是,4088ms
相似问题,如何进行南京宁惠保的理赔操作？,怎么申请南京宁惠保的理赔？,"理赔,报销,申请赔款",60%,100%,是,5758ms
相似问题,指定医院有哪些？,哪些医院可以用这个保险？,"指定医院,定点医疗机构,可就诊医院",20%,100%,是,6982ms
相似问题,线下理赔网点地址和工作时间是什么？,线下理赔的网点有哪些？,"线下理赔,网点地址,工作时间",40%,100%,是,5302ms
相似问题,如何进行理赔？,南京宁惠保怎么进行理赔？,"理赔,操作,流程",60%,100%,是,4517ms
相似问题,理赔时需要发票原件吗,理赔需要发票吗？,"理赔材料,发票原件,电子材料",20%,100%,是,3582ms
相似问题,如何进行理赔申请？,我该怎么申请南京宁惠保的理赔？,"理赔申请,怎么申请,南京宁惠保",40%,100%,是,5846ms
相似问题,理赔原件可以退还吗,理赔之后发票还能要回来吗？,"理赔原件,发票退还,分割单",40%,100%,否,2979ms
相似问题,理赔标准是什么？,理赔要多少钱才能赔？,"理赔标准,赔付门槛,免赔额",20%,20%,是,8740ms
相似问题,你告诉我达到多少费用就可以理赔吧？,达到多少钱才能开始理赔？,"理赔起付线,免赔额标准",0%,75%,是,7048ms
相似问题,医保报销后个人自付和自费费用如何赔付？,医保报销完还能报这部分钱吗？,"医保报销后,个人自付,自费费用",40%,100%,是,5040ms
相似问题,今年还支持直赔吗？直赔医院有哪些？,今年还能直接赔付吗？哪些医院支持？,"直赔,直赔医院,免赔额",20%,100%,是,5282ms
相似问题,理赔申请有哪些方式？哪种方式更方便？,怎么申请理赔？有哪些方法？,"理赔方式,申请渠道,线上申请",0%,100%,是,6859ms
相似问题,如何办理宁惠保理赔？,怎么申请宁惠保的赔款？,"理赔流程,报销材料,住院发票",0%,100%,是,6922ms
相似问题,理赔申请的渠道有哪些,哪里可以申请理赔？,"理赔渠道,申请路径,线上平台",40%,100%,是,3317ms
相似问题,没有到医保报销可以直接申请理赔吗？,没有走医保可以直接找保险公司理赔吗？,"医保报销,直接理赔,未经医保",20%,100%,是,3603ms
相似问题,异地就医包括哪些人员？,哪些人可以算作异地就医人员？,"异地就医,人员范围,异地安置",60%,100%,是,2848ms
相似问题,南京宁惠保线下理赔地址在哪里？,南京宁惠保哪里可以现场申请赔款？,"南京宁惠保,理赔地址,线下办理",40%,100%,是,3324ms
相似问题,宁惠保六期理赔时间是什么时候？,什么时候可以开始申请理赔？,"理赔时间,通道开启,申请时间",20%,100%,是,3471ms
相似问题,2026年的理赔在快速理赔里查不到怎么办？,为什么2026年的理赔在快速理赔里查不到？,"理赔,查询不到,快速理赔",20%,0%,否,1408ms
相似问题,参保地变更能赔付吗？,换了城市参保会影响理赔吗？,"变更参保地,赔付,医保中断",20%,100%,是,3139ms
相似问题,请问门诊手术可以理赔吗,门诊做个小手术能理赔吗？,"门诊手术,理赔,日间手术",60%,100%,是,7395ms
相似问题,宁惠保的理赔条件是什么？,宁惠保什么情况可以申请理赔？,"宁惠保,理赔条件,报销条件",33%,100%,是,3229ms
相似问题,传统理赔需要提交哪些材料？,传统理赔要准备什么材料？,"理赔材料,住院发票,理赔申请",40%,100%,是,3855ms
相似问题,提交理赔后多久能审核完？,提交理赔后要等多久？,"理赔时间,审核周期,处理时长",0%,100%,是,3352ms
相似问题,如何进行线下理赔？,南京宁惠保能去线下申请理赔吗？,"线下理赔,现场办理,材料",60%,100%,是,3653ms
相似问题,异地就医结算单是什么？,异地就医后需要开什么单子？,"异地就医结算单,结算单据,医保结算",60%,100%,是,6681ms
相似问题,立案需要多长时间？,理赔多久能处理完？,"立案时间,理赔进度,结案周期",40%,100%,是,3585ms
相似问题,我理赔资料填写不符吗,我的理赔资料填错了怎么办？,"理赔资料不符,材料错误,填写错误",0%,0%,否,1245ms
相似问题,想请问下理赔的金额？,理赔最多能赔多少钱？,"理赔金额,赔付比例,报销多少",20%,93%,是,8459ms
相似问题,理赔金额为什么按年度计算而不是按治疗周期？,理赔金额是按年算还是按次算？,"年度计算,治疗周期,免赔额累计",40%,100%,是,3739ms
相似问题,有理赔次数限制吗？,这个保险最多能赔多少次？,"理赔次数限制,赔付次数,报销次数",40%,100%,是,10214ms
相似问题,医保结算单是什么？,医保结算单是啥？,"医保结算单,医保单据,自付金额",20%,100%,否,3002ms
相似问题,出院后。理赔是这样吗？,出院之后怎么申请理赔？,"出院后理赔,理赔流程,申请方式",60%,100%,是,12966ms
相似问题,申请理赔的方式有哪些？哪种方式更方便？,怎么申请理赔比较方便？,"理赔方式,申请赔款,线上申请",0%,100%,是,2800ms
相似问题,如何查询理赔进度？,我的理赔申请处理到哪一步了？,"理赔进度,查询状态,报销进展",0%,100%,否,1389ms
相似问题,线下理赔地址和工作时间是什么？,线下理赔的具体地址是什么？,"线下理赔,地址,工作时间",60%,100%,是,3769ms
相似问题,线下理赔地址在哪里？,线下理赔窗口设在哪儿？,线下理赔地址,100%,100%,是,3100ms
相似问题,理赔立案需要多长时间？,理赔多久能处理完？,"理赔时效,立案时间,审核周期",40%,100%,是,2305ms
相似问题,身份证件过期后可以申请理赔吗,身份证过期了还能不能报销？,"理赔,证件过期,申请",60%,100%,否,2308ms
相似问题,异地就医是否可以理赔？,在外地看病可以申请赔付吗？,"异地就医,理赔,报销",100%,100%,是,4512ms
相似问题,如何申请宁惠保理赔？,宁惠保六期什么时候能申请理赔？,"宁惠保理赔,申请,时间",40%,33%,是,3816ms
相似问题,理赔未通过的原因是什么？,为什么我的理赔没通过？,"理赔失败,未通过原因,审核不通过",0%,0%,否,1231ms
相似问题,怎么办理异地就医备案手续？,我要去外地看病，怎么提前备案？,"异地就医备案,异地就医手续,备案方式",20%,100%,是,3789ms
相似问题,医院等级在哪里查看？,怎么查这家医院是什么级别的？,"医院等级查询,医疗机构等级,医院级别",0%,100%,否,2959ms
相似问题,线下办理理赔指导地址和时间是什么？,哪里可以线下办理理赔？,"线下理赔,办理地点,窗口地址",20%,100%,是,3955ms
相似问题,理赔审核需要多长时间？,提交理赔多久能有结果？,"理赔审核,处理时间,快赔",40%,100%,是,4034ms
相似问题,在哪里查询理赔须知？,理赔需要什么资料？,"理赔须知,报销说明,申请赔款",40%,100%,否,3288ms
相似问题,理赔申请被驳回的原因是什么？,为什么我的理赔申请没通过？,"理赔驳回,申请被拒,自费购药",0%,0%,否,1094ms
相似问题,理赔需要多长时间？,提交理赔后多久能拿到钱？,"理赔时间,处理时效,多久能赔",0%,100%,是,4591ms
相似问题,如何申请理赔？理赔流程是什么？,宁惠保理赔有几种方式？分别怎么操作？,"理赔,流程,方式",80%,100%,是,6413ms
相似问题,线下办理理赔的地址和时间是什么？,去哪办线下理赔？,"线下理赔地址,工作时间",100%,100%,是,3122ms
相似问题,理赔门槛是多少？超过多少费用可以申请理赔？,理赔要多少钱才能报？,"免赔额,门槛费,理赔标准",20%,40%,是,6359ms
相似问题,住院手术需要装起搏器，怎么申请理赔？,装心脏起搏器怎么报销？,"起搏器,住院理赔,直赔登记",40%,100%,是,3377ms
相似问题,特药理赔怎么申请？,怎么申请特药的理赔？,"特药,理赔流程,申请方式",60%,100%,否,2835ms
相似问题,可以为他人进行理赔报案吗？,我可以帮家人办理理赔吗？,"他人理赔,代报案,理赔代办",0%,100%,是,2961ms
相似问题,免赔额不是按年算吗，为什么还有免赔额,什么是免赔额？,"免赔额定义,免赔额含义,免赔额解释",0%,81%,是,9177ms
相似问题,日间免赔只自费部分吗，我2024年跟明天俩次手术要分两次赔付,日间手术的免赔额怎么算？,"免赔额,自付部分,日间手术",80%,54%,是,7145ms
相似问题,未达免赔额是什么意思,什么是免赔额？,"免赔额定义,免赔额含义,免赔额解释",0%,96%,是,10556ms
相似问题,请问免赔额是多少,免赔额多少钱？,"免赔额金额,免赔额数额,自付额度",0%,100%,是,5984ms
相似问题,我看保单上有门诊手术免赔额是1000元。,门诊手术的免赔额是多少？,"门诊手术,免赔额,1000元",80%,100%,是,5791ms
相似问题,快赔系统没带出来这一段时间的就诊记录，走的传统通道,我的免赔额是多少？超过部分怎么赔？,"免赔额,赔付比例,责任一",43%,74%,是,8418ms
相似问题,那个直赔怎么没有报销,为什么直付没看到赔款？,"直赔,没有报销,赔付比例",60%,100%,是,7193ms
相似问题,南京鼓楼医院南部院区住院可以直赔吗？,在鼓楼医院住院可以直接理赔吗？,"南京鼓楼医院,直赔,住院理赔",40%,100%,是,5320ms
相似问题,直赔登记怎么登记,怎么办理直赔登记？,"直赔登记,如何登记,南京宁惠保",60%,100%,是,7875ms
相似问题,宁惠保的免赔额是如何计算的？,免赔额怎么算？,"免赔额计算,免赔额算方法,免赔额如何算",0%,100%,是,4111ms
相似问题,麻烦把家庭被保人陈玉琴也一并退保,怎么把家人的保单也一并退掉？,"退保,家庭成员,一起退",20%,0%,是,3453ms
相似问题,如何办理退保手续？,怎么退掉这个保险？,"退保,取消保险,退款流程",20%,100%,是,3355ms
相似问题,如何取消自动续费,怎么关掉自动续费？,"取消自动续费,退保,关闭续保",20%,100%,是,5405ms
相似问题,这款产品的犹豫期有多久？,买了保险后可以反悔吗？,"犹豫期,冷静期,退保",40%,100%,否,2108ms
相似问题,如何取消自动续保,怎么不让保险自动续费？,"取消自动续保,关闭续保,停止续费",20%,100%,是,6801ms
相似问题,取消自动续保这个,怎么取消自动续保功能？,"取消自动续保,退保,关闭续保",20%,100%,是,5351ms
相似问题,退保的费用是怎么计算的？,退保能拿回多少钱？,"退保,退款,费用计算",20%,100%,是,3627ms
相似问题,怎么取消续保功能,怎么关掉自动续保？,"取消续保,自动续保,关闭续保",20%,100%,是,5823ms
相似问题,请问门诊双通道的药品可以报销吗？,门诊用的特效药能报销吗？,"门诊双通道,药品报销,特药",40%,26%,是,10950ms
相似问题,门特门诊医保可以报销的,门特门诊的费用怎么报销？,"门特门诊,医保报销,自动续保",60%,100%,是,9867ms
相似问题,你好我想问下门诊双通道现在也可以报销吗,门诊的特药现在能报吗？,"门诊双通道,是否可报销,门诊费用",20%,30%,是,6918ms
相似问题,那我刚才看你们的宣传说门诊看的也可以报，那是什么东西,你们说门诊也能报，具体怎么算？,"门诊,报销范围,宣传内容",100%,100%,是,14516ms
合成问题,我是南京医保，可以给省内医保的家人/外地医保的家人参保吗 +,我是南京医保，可以给省内医保的家人/外地医保的家人参保吗，另,"南京医保,家人参保,停售",25%,0%,是,4053ms
合成问题,这款产品会停售吗？ + 已经划扣，需要取消，如何操作退费?,这款产品会停售吗，另外已经划扣，需要取消，如何操作退费,"停售,停止销售,退保",50%,0%,是,7217ms
合成问题,已经划扣，需要取消，如何操作退费? + 哪些人群可以参加南京,已经划扣，需要取消，如何操作退费，另外哪些人群可以参加南京宁,"退保,取消保险,参保对象",25%,0%,是,9244ms
合成问题,哪些人群可以参加南京宁惠保？ + 怎么查询或下载发票？,哪些人群可以参加南京宁惠保，另外怎么查询或下载发票,"参保对象,近亲属,发票",50%,100%,是,7454ms
合成问题,怎么查询或下载发票？ + 填写的身份信息会被泄露吗？,怎么查询或下载发票，另外填写的身份信息会被泄露吗,"发票,电子发票,信息泄露",50%,100%,是,5098ms
合成问题,填写的身份信息会被泄露吗？ + 宁惠保的赔付标准是什么？,填写的身份信息会被泄露吗，另外宁惠保的赔付标准是什么,"信息泄露,隐私保护,宁惠保",50%,100%,是,13950ms
合成问题,宁惠保的赔付标准是什么？ + 开通了自动续保后会从哪些渠道划,宁惠保的赔付标准是什么，另外开通了自动续保后会从哪些渠道划扣,"宁惠保,赔付标准,自动续保",100%,100%,是,13278ms
合成问题,开通了自动续保后会从哪些渠道划扣? + 省外医保人员是否可以,开通了自动续保后会从哪些渠道划扣，另外省外医保人员是否可以参,"自动续保,划扣渠道,省外医保",50%,100%,是,5421ms
合成问题,省外医保人员是否可以参保南京宁惠保？ + 投保后，为什么一直,省外医保人员是否可以参保南京宁惠保，另外投保后，为什么一直显,"省外医保,参保条件,出单中",0%,0%,否,1838ms
合成问题,投保后，为什么一直显示出单中？ + 什么是等待期,投保后，为什么一直显示出单中，另外什么是等待期,"出单中,状态,等待期",75%,25%,是,7926ms
合成问题,什么是等待期 + 外籍人士可以投保这款产品吗？,什么是等待期，另外外籍人士可以投保这款产品吗,"等待期,观察期,外籍人士",50%,100%,是,4245ms
合成问题,外籍人士可以投保这款产品吗？ + 什么是免赔额？免赔额是多少,外籍人士可以投保这款产品吗，另外什么是免赔额免赔额是多少,"外籍人士,投保资格,免赔额金额",50%,100%,是,9124ms
合成问题,什么是免赔额？免赔额是多少？ + 退休后，可以投保本产品吗？,什么是免赔额免赔额是多少，另外退休后，可以投保本产品吗,"免赔额金额,免赔额数额,退休",50%,100%,是,9148ms
合成问题,退休后，可以投保本产品吗？ + 投保这款产品需要满足什么条件,退休后，可以投保本产品吗，另外投保这款产品需要满足什么条件,"退休,投保,投保条件",75%,100%,是,5375ms
合成问题,投保这款产品需要满足什么条件？ + 预留手机号可以修改吗？如,投保这款产品需要满足什么条件，另外预留手机号可以修改吗如何修,"投保条件,参保要求,手机号",75%,100%,是,6325ms
合成问题,预留手机号可以修改吗？如何修改？ + 城市定制型保险/普惠型,预留手机号可以修改吗如何修改，另外城市定制型保险/普惠型补充,"手机号,修改,城市定制型保险",75%,100%,是,4745ms
合成问题,城市定制型保险/普惠型补充医疗保险是什么？ + 如何查询自己,城市定制型保险/普惠型补充医疗保险是什么，另外如何查询自己是,"城市定制型保险,普惠型补充医疗,自动续保",50%,100%,是,4223ms
合成问题,如何查询自己是否已开通自动续保? + 可以变更受益人吗,如何查询自己是否已开通自动续保，另外可以变更受益人吗,"自动续保,查询,变更受益人",25%,100%,否,1525ms
合成问题,可以变更受益人吗 + 这款产品的领款人是谁？,可以变更受益人吗，另外这款产品的领款人是谁,"变更受益人,修改受益人,领款人",75%,100%,是,3995ms
合成问题,这款产品的领款人是谁？ + 全家参保有什么额外好处吗？,这款产品的领款人是谁，另外全家参保有什么额外好处吗,"领款人,被保险人,全家参保",100%,100%,是,7412ms
合成问题,全家参保有什么额外好处吗？ + 为什么建议您保留自动续保?,全家参保有什么额外好处吗，另外为什么建议您保留自动续保,"全家参保,家庭共享,自动续保",100%,100%,是,5328ms
合成问题,为什么建议您保留自动续保? + 保单到期后，没有出险保费会返,为什么建议您保留自动续保，另外保单到期后，没有出险保费会返还,"自动续保,续保,保单到期",75%,100%,是,4776ms
合成问题,保单到期后，没有出险保费会返还吗？ + 为什么价格这么优惠？,保单到期后，没有出险保费会返还吗，另外为什么价格这么优惠,"保单到期,保费返还,价格优惠原因",33%,100%,是,8038ms
合成问题,为什么价格这么优惠？ + 投保后提供纸质保单还是电子保单？,为什么价格这么优惠，另外投保后提供纸质保单还是电子保单,"价格优惠原因,电子保单,纸质保单",33%,100%,是,11225ms
合成问题,投保后提供纸质保单还是电子保单？ + 这款产品保额是多少？,投保后提供纸质保单还是电子保单，另外这款产品保额是多少,"电子保单,纸质保单,保额",75%,50%,是,10257ms
合成问题,这款产品保额是多少？ + 这款产品生效时间早于投保时间是否合,这款产品保额是多少，另外这款产品生效时间早于投保时间是否合规,"保额,赔付上限,生效时间",75%,67%,是,13549ms
合成问题,这款产品生效时间早于投保时间是否合规？ + 这款产品可以续保,这款产品生效时间早于投保时间是否合规，另外这款产品可以续保吗,"生效时间,投保时间,续保规则",75%,100%,是,7796ms
合成问题,这款产品可以续保吗？续保规则是什么？ + 已经购买了其他医疗,这款产品可以续保吗续保规则是什么，另外已经购买了其他医疗保障,"续保规则,能否续保,已有医疗保障",25%,100%,是,13656ms
合成问题,已经购买了其他医疗保障产品，是否还需要购买南京宁惠保？ + ,已经购买了其他医疗保障产品，是否还需要购买南京宁惠保，另外什,"已有医疗保障,是否还需,南京宁惠保",25%,100%,是,5862ms
合成问题,什么是“南京宁惠保？ + 这款产品怎么投保？,什么是“南京宁惠保，另外这款产品怎么投保,"南京宁惠保,是什么,怎么参保",50%,100%,是,6773ms
合成问题,这款产品怎么投保？ + 参保有截止日期吗？,这款产品怎么投保，另外参保有截止日期吗,"怎么参保,投保方式,截止日期",50%,100%,是,6799ms
合成问题,参保有截止日期吗？ + 为什么保单上没有保险公司的盖章？,参保有截止日期吗，另外为什么保单上没有保险公司的盖章,"截止日期,参保时间,保单",75%,100%,是,8295ms
合成问题,为什么保单上没有保险公司的盖章？ + 续保需要重新填写资料吗,为什么保单上没有保险公司的盖章，另外续保需要重新填写资料吗,"保单,盖章,续保",100%,100%,是,5288ms
合成问题,续保需要重新填写资料吗？ + 这款产品是哪个保险公司承保的？,续保需要重新填写资料吗，另外这款产品是哪个保险公司承保的,"续保,资料,承保公司",75%,100%,是,10343ms
合成问题,这款产品是哪个保险公司承保的？ + 如何实现家庭参保共享免赔,这款产品是哪个保险公司承保的，另外如何实现家庭参保共享免赔额,"承保公司,保险公司,免赔额共享",0%,100%,是,6706ms
合成问题,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭？ + ,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭，另外暂,"免赔额共享,家庭免赔额,取消自动续保",25%,100%,是,4753ms
合成问题,暂时不需要自动续保“南京宁惠保六期，如何取消? + 投保这款,暂时不需要自动续保“南京宁惠保六期，如何取消，另外投保这款产,"取消自动续保,关闭续保服务,健康告知",75%,100%,是,6826ms
合成问题,投保这款产品是否需要健康告知/体检？ + 这款产品和医保的区,投保这款产品是否需要健康告知/体检，另外这款产品和医保的区别,"健康告知,体检,南京宁惠保",75%,100%,是,8573ms
合成问题,这款产品和医保的区别？ + 这款产品什么时候生效？,这款产品和医保的区别，另外这款产品什么时候生效,"南京宁惠保,医保区别,生效时间",50%,67%,是,6322ms
合成问题,这款产品什么时候生效？ + 是否可以带病投保？,这款产品什么时候生效，另外是否可以带病投保,"生效时间,保障开始,带病投保",50%,67%,是,8421ms
合成问题,是否可以带病投保？ + 南京基本医保参保人可以为直系亲属投保,是否可以带病投保，另外南京基本医保参保人可以为直系亲属投保宁,"带病投保,可以买保险吗,为亲属投保",25%,100%,是,10697ms
合成问题,南京基本医保参保人可以为直系亲属投保宁惠保吗？ + 电子保单,南京基本医保参保人可以为直系亲属投保宁惠保吗，另外电子保单什,"为亲属投保,直系亲属参保,电子保单",50%,100%,是,7798ms
合成问题,电子保单什么时候可以查下并下载？ + 有社保和无社保投保有什,电子保单什么时候可以查下并下载，另外有社保和无社保投保有什么,"电子保单,下载,有社保和无社保区别",50%,100%,是,5568ms
合成问题,有社保和无社保投保有什么区别 + 这款产品有哪些投保渠道？,有社保和无社保投保有什么区别，另外这款产品有哪些投保渠道,"有社保和无社保区别,参保条件,投保渠道",25%,100%,是,5825ms
合成问题,这款产品有哪些投保渠道？ + 购买宁惠保是否还需要购买国家基,这款产品有哪些投保渠道，另外购买宁惠保是否还需要购买国家基本,"投保渠道,购买途径,宁惠保",75%,100%,是,5670ms
合成问题,购买宁惠保是否还需要购买国家基本医疗保险？ + 宁惠保六期是,购买宁惠保是否还需要购买国家基本医疗保险，另外宁惠保六期是否,"宁惠保,医保,医保个账",100%,100%,是,3600ms
合成问题,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持,"医保个账,购买,优待政策",75%,0%,是,3239ms
合成问题,这款产品有哪些优待政策吗？ + 申请退保后保费多久到账？,这款产品有哪些优待政策吗，另外申请退保后保费多久到账,"优待政策,续保优惠,退保",75%,0%,是,5996ms
合成问题,申请退保后保费多久到账？ + 这款产品可以为他人投保吗？,申请退保后保费多久到账，另外这款产品可以为他人投保吗,"退保,退款,为他人投保",50%,100%,是,5561ms
合成问题,这款产品可以为他人投保吗？ + 已经购买了其他产品，是否还需,这款产品可以为他人投保吗，另外已经购买了其他产品，是否还需要,"为他人投保,给家人买,重复购买",0%,100%,是,4059ms
合成问题,已经购买了其他产品，是否还需要购买这款产品？ + 非南京户籍,已经购买了其他产品，是否还需要购买这款产品，另外非南京户籍人,"重复购买,其他产品,南京宁惠保",25%,100%,是,3117ms
合成问题,非南京户籍人员是否可以购买南京宁惠保？ + 免赔额具体金额是,非南京户籍人员是否可以购买南京宁惠保，另外免赔额具体金额是多,"南京宁惠保,非户籍,免赔额金额",25%,57%,是,9677ms
合成问题,免赔额具体金额是多少？ + 与去年相比，“南京宁惠保”六期的,免赔额具体金额是多少，另外与去年相比，“南京宁惠保”六期的保,"免赔额金额,免赔额数额,南京宁惠保",50%,86%,是,17387ms
合成问题,与去年相比，“南京宁惠保”六期的保障有变化吗？ + 这款产品,与去年相比，“南京宁惠保”六期的保障有变化吗，另外这款产品保,"南京宁惠保,六期,保费金额",100%,0%,是,8136ms
合成问题,这款产品保费是多少？ + 去年参保了，今年继续参保有没有什么,这款产品保费是多少，另外去年参保了，今年继续参保有没有什么优,"保费金额,连续参保,续保优惠",33%,29%,是,13365ms
合成问题,去年参保了，今年继续参保有没有什么优待？ + 家庭成员是否可,去年参保了，今年继续参保有没有什么优待，另外家庭成员是否可以,"连续参保,续保优惠,免赔额共享",100%,0%,是,6002ms
合成问题,家庭成员是否可以共享免赔额？ + 哪些人群可以参保南京宁惠保,家庭成员是否可以共享免赔额，另外哪些人群可以参保南京宁惠保,"免赔额共享,家庭免赔额,参保条件",25%,100%,是,6254ms
合成问题,哪些人群可以参保南京宁惠保？ + 这款产品保障多长时间？,哪些人群可以参保南京宁惠保，另外这款产品保障多长时间,"参保条件,南京宁惠保,保障期限",50%,43%,是,3842ms
合成问题,这款产品保障多长时间？ + 今年还可以用医保个账支付保费吗？,这款产品保障多长时间，另外今年还可以用医保个账支付保费吗,"保障期限,有效期,医保个账",50%,43%,是,4319ms
合成问题,今年还可以用医保个账支付保费吗？ + 这款产品的等待期/观察,今年还可以用医保个账支付保费吗，另外这款产品的等待期/观察期,"医保个账,个人账户,等待期",75%,100%,是,6961ms
合成问题,这款产品的等待期/观察期有多久？ + 怎么为家人激活电子医保,这款产品的等待期/观察期有多久，另外怎么为家人激活电子医保凭,"等待期,观察期,激活医保凭证",50%,0%,是,12778ms
合成问题,怎么为家人激活电子医保凭证？ + 去年已购买了“南京宁惠保”,怎么为家人激活电子医保凭证，另外去年已购买了“南京宁惠保”，,"激活医保凭证,电子医保卡,南京宁惠保",25%,100%,是,9354ms
合成问题,去年已购买了“南京宁惠保”，今年还需要重新购买吗？ + 这款,去年已购买了“南京宁惠保”，今年还需要重新购买吗，另外这款产,"南京宁惠保,是否需要重新购买,与其他保险冲突",25%,100%,是,6160ms
合成问题,这款产品和其他商业险是否有冲突？ + 续保时需要再次告知身体,这款产品和其他商业险是否有冲突，另外续保时需要再次告知身体状,"与其他保险冲突,和商业险关系,续保",25%,100%,是,5023ms
合成问题,续保时需要再次告知身体状况吗 + 家庭成员如何共享免赔额？需,续保时需要再次告知身体状况吗，另外家庭成员如何共享免赔额需要,"续保,告知健康状况,免赔额共享",25%,100%,否,5246ms
合成问题,家庭成员如何共享免赔额？需要提供哪些证明材料？ + 在哪里查,家庭成员如何共享免赔额需要提供哪些证明材料，另外在哪里查询这,"免赔额共享,家庭免赔额,保险条款",25%,100%,是,5242ms
合成问题,在哪里查询这款产品的条款？ + 这款产品的赔付比例是多少？,在哪里查询这款产品的条款，另外这款产品的赔付比例是多少,"保险条款,保障内容,赔付比例",50%,86%,是,10142ms
合成问题,这款产品的赔付比例是多少？ + 是多次住院累计报销额超过多少,这款产品的赔付比例是多少，另外是多次住院累计报销额超过多少可,"赔付比例,报销比例,多次住院",50%,100%,是,9949ms
合成问题,是多次住院累计报销额超过多少可以报销 + 现在住院自费太高，,是多次住院累计报销额超过多少可以报销，另外现在住院自费太高，,"多次住院,累计免赔额,住院自费",0%,36%,是,11278ms
合成问题,现在住院自费太高，自费加起来2万才报吗 + 谁没事整天住院？,现在住院自费太高，自费加起来2万才报吗，另外谁没事整天住院,"住院自费,年度累计,住院频率",0%,33%,是,14470ms
合成问题,谁没事整天住院？ + 住院总费用1.3万，自费4千,谁没事整天住院，另外住院总费用1.3万，自费4千,"住院频率,住院次数,住院费用自费",0%,0%,是,4493ms
合成问题,住院总费用1.3万，自费4千 + 可以延期么？我父母在南京住,住院总费用1.3万，自费4千，另外可以延期么我父母在南京住院,"住院费用自费,赔付比例,延期",50%,79%,是,7957ms
合成问题,可以延期么？我父母在南京住院现在已经回老家了，办理文件不方便,可以延期么我父母在南京住院现在已经回老家了，办理文件不方便，,"延期,住院文件,跨年住院",50%,20%,是,19714ms
合成问题,25年12月住院，26年1月1号出院，怎么在查询时看不到25,25年12月住院，26年1月1号出院，怎么在查询时看不到25,"跨年住院,报销,咨询参保",0%,100%,是,8711ms
合成问题,如何咨询关于南京宁惠保的参保问题？ + 能查到我的保单么,如何咨询关于南京宁惠保的参保问题，另外能查到我的保单么,"咨询参保,购买问题,保单",25%,0%,否,1622ms
合成问题,能查到我的保单么 + 在哪里查询或下载我的保单？,能查到我的保单么，另外在哪里查询或下载我的保单,"保单,查询,下载",25%,0%,否,636ms
合成问题,在哪里查询或下载我的保单？ + 这个自动续保我都不知道怎么就,在哪里查询或下载我的保单，另外这个自动续保我都不知道怎么就自,"下载,保单,自动续保",0%,100%,否,597ms
合成问题,这个自动续保我都不知道怎么就自动续保了？能取消订单吗 + 保,这个自动续保我都不知道怎么就自动续保了能取消订单吗，另外保单,"自动续保,取消订单,保单号",0%,0%,否,952ms
合成问题,保单号可以空着吗 + 哪里可以查看我的保单,保单号可以空着吗，另外哪里可以查看我的保单,"保单号,填写要求,保单",75%,0%,是,7907ms
合成问题,哪里可以查看我的保单 + 宁惠保电子保单怎么下载？,哪里可以查看我的保单，另外宁惠保电子保单怎么下载,"保单,查看,宁惠保",0%,100%,否,2267ms
合成问题,宁惠保电子保单怎么下载？ + 宁惠保是否可以报销住院费用？,宁惠保电子保单怎么下载，另外宁惠保是否可以报销住院费用,"宁惠保,电子保单,宁惠保住院报销",67%,100%,是,7261ms
合成问题,宁惠保是否可以报销住院费用？ + 痔疮手术是否可以理赔,宁惠保是否可以报销住院费用，另外痔疮手术是否可以理赔,"宁惠保住院报销,痔疮手术,理赔",67%,0%,是,5301ms
合成问题,痔疮手术是否可以理赔 + 哪些疾病可以理赔？,痔疮手术是否可以理赔，另外哪些疾病可以理赔,"痔疮手术,理赔,理赔",75%,100%,是,8187ms
